time_s,y,y_error,is_laminar
5.120000000000000107e+00,-1.178908835662719756e+00,8.138682354624577481e-03,0.000000000000000000e+00
1.022000000000000064e+01,-1.220885057302391052e+00,8.612462592893185484e-03,0.000000000000000000e+00
1.539000000000000057e+01,-1.264582811494108672e+00,9.127373102579099118e-03,0.000000000000000000e+00
2.048999999999999844e+01,-1.311982328155339106e+00,9.712148236335059470e-03,0.000000000000000000e+00
2.558999999999999986e+01,-1.362577834502574525e+00,1.036803385570561446e-02,0.000000000000000000e+00
3.064999999999999858e+01,-1.412133656778074675e+00,1.104383117691786972e-02,0.000000000000000000e+00
3.577000000000000313e+01,-1.464835003171171213e+00,1.180074880040335970e-02,0.000000000000000000e+00
4.082000000000000028e+01,-1.519662127792972273e+00,1.263233134058922361e-02,0.000000000000000000e+00
4.589999999999999858e+01,-1.575148838955468422e+00,1.352235879175283338e-02,0.000000000000000000e+00
5.097999999999999687e+01,-1.634130525024471758e+00,1.452503490139843596e-02,0.000000000000000000e+00
5.609000000000000341e+01,-1.693444055161644979e+00,1.559571270604732246e-02,0.000000000000000000e+00
6.115999999999999659e+01,-1.754468357370636333e+00,1.676659282307773127e-02,0.000000000000000000e+00
6.621999999999999886e+01,-1.817045790570549935e+00,1.804490047786118725e-02,0.000000000000000000e+00
7.129999999999999716e+01,-1.883264217570461474e+00,1.948878751666000345e-02,0.000000000000000000e+00
7.637000000000000455e+01,-1.948427985047654243e+00,2.100734807974708601e-02,0.000000000000000000e+00
8.148000000000000398e+01,-2.017023912111402417e+00,2.271777431155556914e-02,0.000000000000000000e+00
8.659000000000000341e+01,-2.089340481990565657e+00,2.465405451531875458e-02,0.000000000000000000e+00
9.167000000000000171e+01,-2.162371921010568965e+00,2.675832183854815610e-02,0.000000000000000000e+00
9.679000000000000625e+01,-2.239138871255083707e+00,2.914382486459527605e-02,0.000000000000000000e+00
1.018499999999999943e+02,-2.311875139901138354e+00,3.158083360803150275e-02,0.000000000000000000e+00
1.069399999999999977e+02,-2.391697820469999680e+00,3.446888299193026639e-02,0.000000000000000000e+00
1.120199999999999960e+02,-2.475107016799196646e+00,3.774501016693411481e-02,0.000000000000000000e+00
1.171599999999999966e+02,-2.551520328434814910e+00,4.099725472429965878e-02,0.000000000000000000e+00
1.222699999999999960e+02,-2.641329541454035201e+00,4.515287719433878216e-02,0.000000000000000000e+00
1.274000000000000057e+02,-2.721843523234546147e+00,4.921067535798831494e-02,0.000000000000000000e+00
1.325500000000000114e+02,-2.810505738033395762e+00,5.407525442571785995e-02,0.000000000000000000e+00
1.376800000000000068e+02,-2.893145684778890114e+00,5.901592723337392710e-02,0.000000000000000000e+00
1.428100000000000023e+02,-2.984198120308704461e+00,6.495511133781164959e-02,0.000000000000000000e+00
1.479399999999999977e+02,-3.075774981227527238e+00,7.150096081011556026e-02,0.000000000000000000e+00
1.530500000000000114e+02,-3.166880529749820372e+00,7.863713130506633231e-02,0.000000000000000000e+00
1.581399999999999864e+02,-3.256218603197281958e+00,8.629653200855683104e-02,0.000000000000000000e+00
1.632199999999999989e+02,-3.342154841028372125e+00,9.433982911034574648e-02,0.000000000000000000e+00
1.683400000000000034e+02,-3.451171398225090670e+00,1.055913677703370773e-01,0.000000000000000000e+00
1.734300000000000068e+02,-3.542146549630877939e+00,1.159677140869221634e-01,0.000000000000000000e+00
1.785500000000000114e+02,-3.642835515612529385e+00,1.286089137581583053e-01,0.000000000000000000e+00
1.836100000000000136e+02,-3.735763040012786806e+00,1.414615890766118267e-01,0.000000000000000000e+00
1.886399999999999864e+02,-3.838735209658313607e+00,1.571712241577025437e-01,0.000000000000000000e+00
1.937500000000000000e+02,-3.929910840372893066e+00,1.724983461875086721e-01,0.000000000000000000e+00
1.988199999999999932e+02,-4.030646528616747659e+00,1.911400878498997480e-01,0.000000000000000000e+00
2.039499999999999886e+02,-4.143134726391532574e+00,2.143017740254493930e-01,0.000000000000000000e+00
2.090399999999999920e+02,-4.237000862623624187e+00,2.357268696746011860e-01,0.000000000000000000e+00
2.141500000000000057e+02,-4.340915246431450214e+00,2.619136131598200912e-01,0.000000000000000000e+00
2.192700000000000102e+02,-4.457250055911469389e+00,2.946476275813367796e-01,0.000000000000000000e+00
2.243400000000000034e+02,-4.543294782270003829e+00,3.214303604033234563e-01,0.000000000000000000e+00
2.294399999999999977e+02,-4.637637376125592681e+00,3.535699564611560763e-01,0.000000000000000000e+00
2.345900000000000034e+02,-4.798703169015035463e+00,4.159592874653841865e-01,0.000000000000000000e+00
2.397100000000000080e+02,-4.858842942337123993e+00,4.419550425140524319e-01,1.000000000000000000e+00
2.447800000000000011e+02,-4.991403932168368307e+00,5.050879361707134585e-01,1.000000000000000000e+00
2.498899999999999864e+02,-5.065026349566252861e+00,5.439391345198011374e-01,1.000000000000000000e+00
2.550500000000000114e+02,-5.231108616854586835e+00,6.428335378133721578e-01,1.000000000000000000e+00
2.601499999999999773e+02,-5.231108616854586835e+00,6.428335378133721578e-01,1.000000000000000000e+00
2.652400000000000091e+02,-5.430806549594115573e+00,7.856817361192869331e-01,1.000000000000000000e+00
2.703399999999999750e+02,-5.430806549594115573e+00,7.856817361192869331e-01,1.000000000000000000e+00
2.754499999999999886e+02,-5.548102848808667886e+00,8.838901806138146355e-01,1.000000000000000000e+00
2.805400000000000205e+02,-5.681147267963620351e+00,1.010158416387781921e+00,1.000000000000000000e+00
