Time,PT1,PT2
5.11, 1.870E+3, 2.401E+1
10.21, 1.821E+3, 2.399E+1
15.29, 1.772E+3, 2.399E+1
20.33, 1.726E+3, 2.395E+1
25.44, 1.679E+3, 2.397E+1
30.56, 1.636E+3, 2.391E+1
35.64, 1.594E+3, 2.387E+1
40.76, 1.554E+3, 2.387E+1
45.88, 1.516E+3, 2.382E+1
50.94, 1.482E+3, 2.380E+1
56.02, 1.449E+3, 2.377E+1
61.13, 1.418E+3, 2.374E+1
66.23, 1.388E+3, 2.371E+1
71.34, 1.360E+3, 2.366E+1
76.47, 1.334E+3, 2.368E+1
81.52, 1.310E+3, 2.364E+1
86.65, 1.287E+3, 2.363E+1
91.73, 1.265E+3, 2.360E+1
96.81, 1.246E+3, 2.360E+1
101.99, 1.227E+3, 2.359E+1
107.04, 1.210E+3, 2.361E+1
112.12, 1.194E+3, 2.361E+1
117.22, 1.180E+3, 2.358E+1
122.32, 1.166E+3, 2.358E+1
127.45, 1.154E+3, 2.358E+1
132.55, 1.142E+3, 2.359E+1
137.64, 1.131E+3, 2.355E+1
142.69, 1.121E+3, 2.352E+1
147.80, 1.112E+3, 2.356E+1
152.90, 1.104E+3, 2.355E+1
158.11, 1.097E+3, 2.353E+1
163.13, 1.089E+3, 2.351E+1
168.19, 1.083E+3, 2.352E+1
173.26, 1.078E+3, 2.350E+1
178.32, 1.072E+3, 2.352E+1
183.46, 1.068E+3, 2.349E+1
188.58, 1.063E+3, 2.349E+1
193.64, 1.059E+3, 2.352E+1
198.76, 1.056E+3, 2.347E+1
203.89, 1.052E+3, 2.348E+1
209.04, 1.049E+3, 2.347E+1
214.16, 1.047E+3, 2.346E+1
219.28, 1.045E+3, 2.350E+1
224.36, 1.042E+3, 2.346E+1
229.36, 1.040E+3, 2.347E+1
234.44, 1.038E+3, 2.346E+1
239.56, 1.037E+3, 2.347E+1
244.68, 1.035E+3, 2.341E+1
249.81, 1.034E+3, 2.343E+1
254.90, 1.033E+3, 2.342E+1
260.02, 1.032E+3, 2.345E+1
265.13, 1.032E+3, 2.346E+1
270.18, 1.030E+3, 2.346E+1
275.21, 1.029E+3, 2.344E+1
