Time,PT1,PT2
5.06, 1.819E+3, 1.003E+3
10.16, 1.721E+3, 1.004E+3
15.27, 1.636E+3, 1.002E+3
20.36, 1.560E+3, 1.003E+3
25.47, 1.494E+3, 1.003E+3
30.58, 1.436E+3, 1.003E+3
35.65, 1.386E+3, 1.003E+3
40.75, 1.342E+3, 1.003E+3
45.83, 1.303E+3, 1.003E+3
50.94, 1.269E+3, 1.002E+3
56.07, 1.240E+3, 1.002E+3
61.13, 1.214E+3, 1.004E+3
66.22, 1.190E+3, 1.003E+3
71.34, 1.171E+3, 1.004E+3
76.50, 1.153E+3, 1.003E+3
81.63, 1.138E+3, 1.003E+3
86.72, 1.124E+3, 1.005E+3
91.87, 1.112E+3, 1.004E+3
96.99, 1.101E+3, 1.002E+3
102.08, 1.093E+3, 1.003E+3
107.13, 1.084E+3, 1.003E+3
112.17, 1.077E+3, 1.003E+3
117.25, 1.071E+3, 1.003E+3
122.36, 1.065E+3, 1.004E+3
127.44, 1.060E+3, 1.003E+3
132.52, 1.055E+3, 1.003E+3
137.63, 1.052E+3, 1.004E+3
142.67, 1.048E+3, 1.003E+3
147.78, 1.046E+3, 1.004E+3
152.89, 1.043E+3, 1.003E+3
157.99, 1.040E+3, 1.003E+3
163.09, 1.038E+3, 1.003E+3
168.17, 1.037E+3, 1.004E+3
173.28, 1.035E+3, 1.003E+3
178.38, 1.033E+3, 1.004E+3
