time_s,y,y_error,is_molecular
3.021000000000000085e+01,2.069290190623460646e+00,2.050510152540660838e-02,0.000000000000000000e+00
6.031000000000000227e+01,1.808878761035443539e+00,2.065535094042860245e-02,0.000000000000000000e+00
9.045000000000000284e+01,1.585759785079523310e+00,2.081916854392791214e-02,0.000000000000000000e+00
1.205799999999999983e+02,1.401650844440580634e+00,2.098476082621433467e-02,0.000000000000000000e+00
1.507899999999999920e+02,1.230926273886193467e+00,2.116808784020558429e-02,1.000000000000000000e+00
1.810099999999999909e+02,1.080685900134654265e+00,2.135745070757118225e-02,1.000000000000000000e+00
2.112100000000000080e+02,9.462766273644116488e-01,2.155273475408563469e-02,1.000000000000000000e+00
2.412899999999999920e+02,8.205724688151840862e-01,2.176071837309622586e-02,1.000000000000000000e+00
2.713199999999999932e+02,6.947459019236421618e-01,2.199680511182108833e-02,1.000000000000000000e+00
3.014100000000000250e+02,5.778485561964822326e-01,2.224441701268095942e-02,1.000000000000000000e+00
3.314200000000000159e+02,4.807580921435956611e-01,2.247325789896741435e-02,1.000000000000000000e+00
3.615799999999999841e+02,3.812612094110349181e-01,2.273199784172170307e-02,1.000000000000000000e+00
3.916299999999999955e+02,2.882419157102949492e-01,2.299832094027344856e-02,1.000000000000000000e+00
4.217599999999999909e+02,2.023365798332150134e-01,2.326727982618071247e-02,1.000000000000000000e+00
4.518999999999999773e+02,1.161016228738453310e-01,2.356153894097639742e-02,1.000000000000000000e+00
4.820099999999999909e+02,3.691035402009715249e-02,2.385505011565150144e-02,1.000000000000000000e+00
5.120800000000000409e+02,-4.020759996591555252e-02,2.416410747561394470e-02,1.000000000000000000e+00
5.422500000000000000e+02,-1.155343159228677946e-01,2.448989213034156662e-02,1.000000000000000000e+00
5.723500000000000227e+02,-1.916327719250925932e-01,2.484490255689732197e-02,1.000000000000000000e+00
6.024600000000000364e+02,-2.611180413262296218e-01,2.519352367597605877e-02,1.000000000000000000e+00
6.325499999999999545e+02,-3.211561293094978842e-01,2.551488329128235102e-02,1.000000000000000000e+00
6.625499999999999545e+02,-3.882835598994054394e-01,2.589779127716670265e-02,1.000000000000000000e+00
6.925599999999999454e+02,-4.508600425985568316e-01,2.627864632385257943e-02,1.000000000000000000e+00
7.226299999999999955e+02,-5.031716569124964344e-01,2.661583500107507494e-02,1.000000000000000000e+00
7.528400000000000318e+02,-5.664264277807886661e-01,2.704783719496079569e-02,1.000000000000000000e+00
7.830000000000000000e+02,-6.171124942839479877e-01,2.741427247451344237e-02,1.000000000000000000e+00
8.130599999999999454e+02,-6.701731170001239413e-01,2.781830264649545054e-02,1.000000000000000000e+00
8.432699999999999818e+02,-7.188548081037514637e-01,2.820832734809464518e-02,1.000000000000000000e+00
8.733999999999999773e+02,-7.737066884183622095e-01,2.867114675915890046e-02,1.000000000000000000e+00
9.035299999999999727e+02,-8.154730191382366655e-01,2.904097823384490379e-02,1.000000000000000000e+00
9.336599999999999682e+02,-8.646949832305048655e-01,2.949712711904649287e-02,1.000000000000000000e+00
9.636699999999999591e+02,-9.080001935564209203e-01,2.991743733419284859e-02,1.000000000000000000e+00
9.938899999999999864e+02,-9.440474089191980278e-01,3.028145482585786058e-02,1.000000000000000000e+00
1.023970000000000027e+03,-9.910142780700914589e-01,3.077586206896551838e-02,1.000000000000000000e+00
1.054109999999999900e+03,-1.025966098683255945e+00,3.115915748360998869e-02,1.000000000000000000e+00
1.084279999999999973e+03,-1.072067733445997373e+00,3.168565585743499807e-02,1.000000000000000000e+00
1.114470000000000027e+03,-1.107965897595224902e+00,3.211276988765406071e-02,1.000000000000000000e+00
1.144599999999999909e+03,-1.140403502729916196e+00,3.251212111733241955e-02,1.000000000000000000e+00
1.174750000000000000e+03,-1.168991835430690518e+00,3.287498390627011796e-02,1.000000000000000000e+00
1.204759999999999991e+03,-1.214898944459489538e+00,3.347981397856709951e-02,1.000000000000000000e+00
1.234779999999999973e+03,-1.248691269125314474e+00,3.394311210262130479e-02,1.000000000000000000e+00
1.264789999999999964e+03,-1.274502570516463207e+00,3.430768680473584437e-02,1.000000000000000000e+00
1.294869999999999891e+03,-1.312932381435086615e+00,3.486823030888749203e-02,1.000000000000000000e+00
1.325059999999999945e+03,-1.346996727848114528e+00,3.538343204368894768e-02,1.000000000000000000e+00
1.355200000000000045e+03,-1.376185626971602849e+00,3.583907499802011648e-02,1.000000000000000000e+00
1.385390000000000100e+03,-1.409030888093760980e+00,3.636795155086341297e-02,1.000000000000000000e+00
1.415519999999999982e+03,-1.441553403437915604e+00,3.690902942171120360e-02,1.000000000000000000e+00
1.445589999999999918e+03,-1.480385284519486255e+00,3.757855416392001657e-02,1.000000000000000000e+00
1.475799999999999955e+03,-1.503817430570416613e+00,3.799532121648371147e-02,1.000000000000000000e+00
1.505990000000000009e+03,-1.533310552046549535e+00,3.853396348809192545e-02,1.000000000000000000e+00
1.536000000000000000e+03,-1.561266987572807130e+00,3.905941773478820156e-02,1.000000000000000000e+00
1.566119999999999891e+03,-1.590861526861164998e+00,3.963190184049080605e-02,1.000000000000000000e+00
1.596140000000000100e+03,-1.621358683329794159e+00,4.023984212923140125e-02,1.000000000000000000e+00
1.626200000000000045e+03,-1.641341461447108685e+00,4.064835845550279075e-02,1.000000000000000000e+00
1.656339999999999918e+03,-1.666219926533085038e+00,4.116850127011008331e-02,1.000000000000000000e+00
1.686500000000000000e+03,-1.698214482824946137e+00,4.185672914048412657e-02,1.000000000000000000e+00
1.716630000000000109e+03,-1.722662603148728877e+00,4.239767064225321430e-02,1.000000000000000000e+00
1.746849999999999909e+03,-1.753597008133706225e+00,4.310135720473578375e-02,1.000000000000000000e+00
1.776980000000000018e+03,-1.781472561359919604e+00,4.375437971375972790e-02,1.000000000000000000e+00
