Time,PT1,PT2
30.21, 1.431E+1, 4.816E+0
60.27, 1.184E+1, 3.661E+0
90.28, 9.724E+0, 2.893E+0
120.45, 8.755E+0, 2.382E+0
150.65, 8.143E+0, 1.989E+0
180.87, 7.557E+0, 1.688E+0
210.95, 6.946E+0, 1.465E+0
241.05, 6.410E+0, 1.267E+0
271.10, 6.105E+0, 1.119E+0
301.27, 5.722E+0, 9.920E-1
331.48, 5.595E+0, 8.891E-1
361.54, 5.799E+0, 8.053E-1
391.73, 5.544E+0, 7.309E-1
421.73, 5.620E+0, 6.647E-1
451.81, 5.544E+0, 6.073E-1
482.02, 5.467E+0, 5.585E-1
512.06, 5.544E+0, 5.159E-1
542.19, 5.391E+0, 4.780E-1
572.38, 5.009E+0, 4.462E-1
602.45, 5.162E+0, 4.161E-1
632.54, 5.391E+0, 3.884E-1
662.76, 5.493E+0, 3.638E-1
692.90, 5.136E+0, 3.443E-1
722.96, 5.034E+0, 3.249E-1
753.15, 5.034E+0, 3.072E-1
783.34, 4.779E+0, 2.912E-1
813.55, 5.111E+0, 2.783E-1
843.76, 5.009E+0, 2.656E-1
873.95, 4.958E+0, 2.546E-1
904.06, 4.881E+0, 2.451E-1
934.19, 4.983E+0, 2.346E-1
964.36, 4.805E+0, 2.266E-1
994.38, 5.391E+0, 2.191E-1
1024.50, 4.703E+0, 2.128E-1
1054.63, 4.601E+0, 2.068E-1
1084.84, 4.626E+0, 2.009E-1
1114.88, 4.448E+0, 1.952E-1
1145.07, 4.652E+0, 1.903E-1
1175.18, 4.601E+0, 1.862E-1
1205.38, 4.575E+0, 1.817E-1
1235.53, 4.550E+0, 1.777E-1
1265.61, 4.473E+0, 1.743E-1
1295.70, 5.060E+0, 1.711E-1
1325.89, 4.601E+0, 1.682E-1
1356.02, 4.652E+0, 1.653E-1
1386.23, 4.932E+0, 1.625E-1
1416.40, 4.575E+0, 1.603E-1
1446.55, 4.881E+0, 1.584E-1
1476.70, 4.754E+0, 1.558E-1
1506.87, 4.677E+0, 1.538E-1
1537.05, 4.881E+0, 1.518E-1
1567.26, 4.830E+0, 1.504E-1
1597.37, 4.932E+0, 1.490E-1
1627.45, 4.601E+0, 1.476E-1
1657.62, 4.830E+0, 1.458E-1
1687.74, 4.601E+0, 1.446E-1
1717.84, 5.060E+0, 1.431E-1
1747.92, 4.805E+0, 1.414E-1
1778.07, 5.009E+0, 1.402E-1
1808.29, 4.958E+0, 1.393E-1
1838.49, 4.932E+0, 1.384E-1
1868.57, 4.856E+0, 1.373E-1
1898.68, 5.162E+0, 1.365E-1
1928.77, 4.830E+0, 1.350E-1
1958.91, 4.830E+0, 1.339E-1
1988.96, 4.830E+0, 1.327E-1
2018.97, 4.881E+0, 1.319E-1
2049.03, 4.728E+0, 1.305E-1
2079.07, 4.703E+0, 1.300E-1
2109.19, 4.932E+0, 1.293E-1
2139.24, 4.473E+0, 1.285E-1
2169.45, 4.703E+0, 1.277E-1
2199.62, 4.830E+0, 1.266E-1
2229.68, 4.728E+0, 1.255E-1
2259.79, 4.881E+0, 1.251E-1
2289.99, 4.728E+0, 1.243E-1
2320.11, 4.932E+0, 1.232E-1
2350.18, 4.779E+0, 1.231E-1
2380.25, 4.626E+0, 1.221E-1
2410.37, 4.677E+0, 1.214E-1
2440.48, 4.728E+0, 1.210E-1
2470.65, 4.677E+0, 1.205E-1
2500.87, 4.958E+0, 1.195E-1
2531.06, 4.779E+0, 1.190E-1
2561.08, 4.626E+0, 1.184E-1
2591.20, 4.626E+0, 1.178E-1
2621.31, 4.448E+0, 1.168E-1
2651.39, 4.932E+0, 1.163E-1
2681.59, 4.601E+0, 1.157E-1
2711.67, 4.805E+0, 1.150E-1
2741.76, 4.575E+0, 1.144E-1
2771.83, 4.473E+0, 1.138E-1
2802.02, 4.448E+0, 1.129E-1
2832.11, 4.856E+0, 1.126E-1
2862.27, 4.830E+0, 1.120E-1
2892.37, 4.524E+0, 1.114E-1
2922.59, 4.703E+0, 1.110E-1
2952.64, 4.703E+0, 1.105E-1
2982.65, 4.703E+0, 1.101E-1
3012.83, 4.830E+0, 1.098E-1
3042.94, 4.932E+0, 1.091E-1
3073.07, 4.728E+0, 1.085E-1
3103.25, 4.805E+0, 1.081E-1
3133.43, 4.448E+0, 1.076E-1
3163.52, 4.856E+0, 1.069E-1
3193.56, 4.932E+0, 1.064E-1
3223.64, 4.983E+0, 1.059E-1
3253.86, 5.136E+0, 1.053E-1
3284.06, 4.881E+0, 1.048E-1
3314.14, 5.009E+0, 1.045E-1
3344.29, 5.085E+0, 1.043E-1
3374.47, 4.907E+0, 1.041E-1
3404.57, 4.830E+0, 1.036E-1
3434.77, 4.779E+0, 1.033E-1
3464.79, 4.677E+0, 1.029E-1
3494.89, 5.034E+0, 1.026E-1
3524.94, 4.907E+0, 1.025E-1
3555.05, 4.524E+0, 1.018E-1
3585.06, 5.009E+0, 1.016E-1
3615.26, 4.932E+0, 1.014E-1
3645.36, 4.677E+0, 1.009E-1
3675.40, 4.677E+0, 1.004E-1
3705.56, 4.983E+0, 1.001E-1
