Time,PT1,PT2
30.12, 1.643E+1, 6.134E+1
60.12, 1.643E+1, 5.883E+1
90.17, 1.648E+1, 5.649E+1
120.23, 1.622E+1, 5.437E+1
150.42, 1.615E+1, 5.202E+1
180.53, 1.627E+1, 5.024E+1
210.73, 1.602E+1, 4.821E+1
240.84, 1.592E+1, 4.657E+1
270.92, 1.584E+1, 4.482E+1
300.99, 1.551E+1, 4.338E+1
331.02, 1.553E+1, 4.179E+1
361.21, 1.564E+1, 4.056E+1
391.42, 1.548E+1, 3.920E+1
421.52, 1.528E+1, 3.798E+1
451.68, 1.538E+1, 3.693E+1
481.75, 1.510E+1, 3.578E+1
511.92, 1.510E+1, 3.465E+1
542.02, 1.449E+1, 3.362E+1
572.21, 1.452E+1, 3.272E+1
602.39, 1.449E+1, 3.184E+1
632.49, 1.469E+1, 3.093E+1
662.61, 1.416E+1, 3.021E+1
692.63, 1.401E+1, 2.931E+1
722.75, 1.416E+1, 2.867E+1
752.86, 1.411E+1, 2.792E+1
783.05, 1.411E+1, 2.726E+1
813.17, 1.439E+1, 2.665E+1
843.18, 1.395E+1, 2.595E+1
873.37, 1.385E+1, 2.535E+1
903.48, 1.383E+1, 2.478E+1
933.67, 1.378E+1, 2.423E+1
963.83, 1.383E+1, 2.367E+1
993.92, 1.365E+1, 2.312E+1
1024.07, 1.375E+1, 2.266E+1
1054.08, 1.342E+1, 2.217E+1
1084.24, 1.337E+1, 2.164E+1
1114.28, 1.332E+1, 2.127E+1
1144.38, 1.332E+1, 2.079E+1
1174.60, 1.342E+1, 2.038E+1
1204.78, 1.324E+1, 1.999E+1
1234.96, 1.306E+1, 1.962E+1
1265.13, 1.334E+1, 1.923E+1
1295.35, 1.306E+1, 1.883E+1
1325.56, 1.299E+1, 1.851E+1
1355.69, 1.288E+1, 1.818E+1
1385.88, 1.283E+1, 1.784E+1
1415.98, 1.286E+1, 1.747E+1
1446.11, 1.278E+1, 1.718E+1
1476.28, 1.288E+1, 1.690E+1
1506.40, 1.268E+1, 1.659E+1
1536.45, 1.235E+1, 1.629E+1
1566.53, 1.237E+1, 1.606E+1
1596.55, 1.235E+1, 1.580E+1
1626.66, 1.230E+1, 1.555E+1
1656.68, 1.232E+1, 1.529E+1
1686.88, 1.235E+1, 1.499E+1
1717.05, 1.245E+1, 1.485E+1
1747.07, 1.225E+1, 1.462E+1
1777.26, 1.207E+1, 1.439E+1
1807.47, 1.199E+1, 1.411E+1
1837.49, 1.207E+1, 1.390E+1
1867.64, 1.181E+1, 1.372E+1
1897.81, 1.207E+1, 1.352E+1
1927.96, 1.176E+1, 1.290E+1
1958.15, 1.197E+1, 1.271E+1
1988.30, 1.141E+1, 1.256E+1
2018.50, 1.133E+1, 1.241E+1
2048.55, 1.146E+1, 1.220E+1
2078.59, 1.146E+1, 1.202E+1
2108.62, 1.199E+1, 1.189E+1
2138.64, 1.166E+1, 1.176E+1
2168.86, 1.143E+1, 1.159E+1
2198.89, 1.120E+1, 1.143E+1
2228.99, 1.125E+1, 1.127E+1
2259.06, 1.143E+1, 1.115E+1
2289.08, 1.090E+1, 1.100E+1
2319.27, 1.130E+1, 1.087E+1
2349.42, 1.120E+1, 1.074E+1
2379.49, 1.107E+1, 1.058E+1
2409.54, 1.095E+1, 1.043E+1
2439.57, 1.105E+1, 1.035E+1
2469.59, 1.120E+1, 1.021E+1
2499.80, 1.082E+1, 1.007E+1
2529.96, 1.110E+1, 9.979E+0
2559.97, 1.085E+1, 9.836E+0
2590.13, 1.064E+1, 9.697E+0
2620.18, 1.072E+1, 9.618E+0
2650.23, 1.082E+1, 9.496E+0
2680.25, 1.054E+1, 9.385E+0
2710.27, 1.054E+1, 9.282E+0
2740.43, 1.041E+1, 9.159E+0
2770.44, 1.079E+1, 9.061E+0
2800.61, 1.018E+1, 8.972E+0
2830.70, 1.090E+1, 8.905E+0
2860.87, 1.036E+1, 8.798E+0
2890.94, 1.006E+1, 8.703E+0
2921.10, 1.036E+1, 8.606E+0
2951.19, 1.006E+1, 8.503E+0
2981.24, 1.041E+1, 8.389E+0
3011.27, 1.041E+1, 8.315E+0
3041.41, 1.011E+1, 8.235E+0
3071.46, 1.018E+1, 8.143E+0
3101.68, 9.851E+0, 8.040E+0
3131.77, 1.056E+1, 7.947E+0
3161.82, 1.049E+1, 7.859E+0
3191.93, 9.877E+0, 7.772E+0
3222.11, 9.928E+0, 7.722E+0
3252.21, 1.023E+1, 7.635E+0
3282.26, 9.571E+0, 7.559E+0
3312.46, 9.953E+0, 7.480E+0
3342.47, 9.698E+0, 7.408E+0
3372.47, 9.418E+0, 7.312E+0
3402.56, 9.622E+0, 7.233E+0
3432.75, 9.545E+0, 7.177E+0
3462.78, 9.418E+0, 7.110E+0
3492.88, 9.724E+0, 7.044E+0
3522.97, 9.698E+0, 6.959E+0
3553.08, 9.214E+0, 6.903E+0
3583.16, 9.571E+0, 6.820E+0
3613.33, 9.367E+0, 6.752E+0
3643.42, 8.985E+0, 6.700E+0
3673.50, 9.392E+0, 6.633E+0
3703.57, 8.985E+0, 6.570E+0
3733.67, 9.214E+0, 6.512E+0
3763.77, 9.290E+0, 6.447E+0
3793.87, 8.985E+0, 6.382E+0
3823.97, 8.985E+0, 6.321E+0
3854.05, 8.959E+0, 6.247E+0
3884.25, 9.341E+0, 6.209E+0
3914.34, 9.188E+0, 6.159E+0
3944.35, 9.724E+0, 6.108E+0
3974.36, 9.112E+0, 6.032E+0
4004.52, 9.239E+0, 5.987E+0
4034.55, 9.137E+0, 5.920E+0
4064.61, 9.265E+0, 5.869E+0
4094.81, 9.163E+0, 5.814E+0
4124.81, 9.036E+0, 5.776E+0
4154.82, 9.036E+0, 5.721E+0
4184.96, 9.061E+0, 5.676E+0
4215.01, 9.290E+0, 5.636E+0
4245.13, 8.755E+0, 5.582E+0
4275.19, 8.857E+0, 5.539E+0
4305.21, 8.730E+0, 5.473E+0
4335.42, 8.959E+0, 5.427E+0
4365.50, 8.934E+0, 5.379E+0
4395.55, 8.908E+0, 5.349E+0
4425.68, 8.806E+0, 5.301E+0
4455.69, 9.061E+0, 5.267E+0
4485.88, 8.628E+0, 5.206E+0
4516.00, 8.832E+0, 5.172E+0
4546.01, 8.704E+0, 5.119E+0
4576.20, 8.679E+0, 5.077E+0
4606.37, 8.577E+0, 5.023E+0
4636.48, 8.526E+0, 4.998E+0
4666.54, 8.730E+0, 4.967E+0
4696.72, 8.679E+0, 4.919E+0
4726.73, 8.500E+0, 4.891E+0
4756.73, 8.577E+0, 4.847E+0
4786.94, 8.628E+0, 4.817E+0
4817.14, 8.704E+0, 4.776E+0
4847.16, 8.730E+0, 4.731E+0
4877.21, 8.730E+0, 4.682E+0
4907.25, 8.755E+0, 4.650E+0
4937.28, 8.347E+0, 4.631E+0
4967.30, 8.449E+0, 4.599E+0
4997.40, 8.475E+0, 4.559E+0
5027.46, 8.526E+0, 4.515E+0
5057.58, 8.730E+0, 4.477E+0
5087.60, 8.653E+0, 4.448E+0
5117.73, 8.755E+0, 4.412E+0
5147.86, 8.322E+0, 4.382E+0
5178.02, 8.449E+0, 4.343E+0
5208.03, 8.500E+0, 4.322E+0
5238.06, 8.755E+0, 4.296E+0
5268.07, 8.398E+0, 4.266E+0
5298.16, 8.245E+0, 4.234E+0
5328.32, 8.730E+0, 4.198E+0
5358.34, 8.398E+0, 4.162E+0
5388.56, 8.449E+0, 4.144E+0
5418.63, 8.271E+0, 4.108E+0
5448.84, 8.475E+0, 4.076E+0
5478.92, 8.322E+0, 4.040E+0
5509.11, 8.373E+0, 4.016E+0
5539.32, 8.347E+0, 3.991E+0
5569.35, 8.475E+0, 3.959E+0
5599.57, 8.653E+0, 3.939E+0
