time_s,y,y_error,is_molecular
3.012000000000000099e+01,3.869219883102836821e+00,2.048721427825905481e-02,0.000000000000000000e+00
6.011999999999999744e+01,3.826399755453351759e+00,2.050852996927904001e-02,0.000000000000000000e+00
9.017000000000000171e+01,3.784757654382270076e+00,2.053015332197615297e-02,0.000000000000000000e+00
1.202300000000000040e+02,3.745472430346389103e+00,2.055139502468756804e-02,0.000000000000000000e+00
1.504199999999999875e+02,3.700041921320047500e+00,2.057702291774827705e-02,0.000000000000000000e+00
1.805300000000000011e+02,3.664202466401496050e+00,2.059807815502882888e-02,0.000000000000000000e+00
2.107299999999999898e+02,3.621697442030947567e+00,2.062404748536135479e-02,0.000000000000000000e+00
2.408400000000000034e+02,3.585988109764298049e+00,2.064673446202443946e-02,0.000000000000000000e+00
2.709200000000000159e+02,3.546422633814934500e+00,2.067283576926403493e-02,0.000000000000000000e+00
3.009900000000000091e+02,3.512649306956298290e+00,2.069594775919134100e-02,0.000000000000000000e+00
3.310199999999999818e+02,3.473983051387802945e+00,2.072338447233844708e-02,0.000000000000000000e+00
3.612099999999999795e+02,3.443010884475565803e+00,2.074613982928934577e-02,0.000000000000000000e+00
3.914200000000000159e+02,3.407610109434345169e+00,2.077302686053058775e-02,0.000000000000000000e+00
4.215199999999999818e+02,3.374750731647171875e+00,2.079884998459800849e-02,0.000000000000000000e+00
4.516800000000000068e+02,3.345578957899143280e+00,2.082249709271593446e-02,0.000000000000000000e+00
4.817500000000000000e+02,3.312621144553712149e+00,2.085005645190662199e-02,0.000000000000000000e+00
5.119200000000000159e+02,3.279142735654849261e+00,2.087899672353406635e-02,0.000000000000000000e+00
5.420199999999999818e+02,3.247618760400412530e+00,2.090714757666446710e-02,0.000000000000000000e+00
5.722100000000000364e+02,3.219235760083748676e+00,2.093326402495102045e-02,0.000000000000000000e+00
6.023899999999999864e+02,3.190682090497418688e+00,2.096029623534252304e-02,0.000000000000000000e+00
6.324900000000000091e+02,3.160271660552147477e+00,2.098994783051278887e-02,0.000000000000000000e+00
6.626100000000000136e+02,3.135537693244867086e+00,2.101473848963088600e-02,0.000000000000000000e+00
6.926299999999999955e+02,3.103734297355269067e+00,2.104752928504106946e-02,0.000000000000000000e+00
7.227500000000000000e+02,3.080486939418799253e+00,2.107216684275805066e-02,0.000000000000000000e+00
7.528600000000000136e+02,3.052537847375443203e+00,2.110255562378950470e-02,0.000000000000000000e+00
7.830499999999999545e+02,3.027279389052120795e+00,2.113075916864493378e-02,0.000000000000000000e+00
8.131699999999999591e+02,3.003353160685351853e+00,2.115814022726145160e-02,0.000000000000000000e+00
8.431799999999999500e+02,2.975172359588629689e+00,2.119124177001990503e-02,0.000000000000000000e+00
8.733700000000000045e+02,2.950368731802460953e+00,2.122115837388165172e-02,0.000000000000000000e+00
9.034800000000000182e+02,2.926221410789862087e+00,2.125100498472423660e-02,0.000000000000000000e+00
9.336699999999999591e+02,2.902355224048691618e+00,2.128122083767909276e-02,0.000000000000000000e+00
9.638300000000000409e+02,2.877455365962938050e+00,2.131352355225392750e-02,0.000000000000000000e+00
9.939199999999999591e+02,2.852381398658108580e+00,2.134687518033354450e-02,0.000000000000000000e+00
1.024069999999999936e+03,2.830916590889701823e+00,2.137609810742291394e-02,0.000000000000000000e+00
1.054079999999999927e+03,2.807533479587160041e+00,2.140865471663951081e-02,0.000000000000000000e+00
1.084240000000000009e+03,2.781610404210238308e+00,2.144564880768039944e-02,0.000000000000000000e+00
1.114279999999999973e+03,2.763106406850288632e+00,2.147264811660041725e-02,0.000000000000000000e+00
1.144380000000000109e+03,2.738579406137032990e+00,2.150921435499515005e-02,0.000000000000000000e+00
1.174599999999999909e+03,2.717142077780428266e+00,2.154191715663605899e-02,0.000000000000000000e+00
1.204779999999999973e+03,2.696314944883789089e+00,2.157436762225969917e-02,0.000000000000000000e+00
1.234960000000000036e+03,2.676146652089201883e+00,2.160644228783811793e-02,0.000000000000000000e+00
1.265130000000000109e+03,2.654438431653561192e+00,2.164169656045579135e-02,0.000000000000000000e+00
1.295349999999999909e+03,2.631672989504445059e+00,2.167949917248326863e-02,0.000000000000000000e+00
1.325559999999999945e+03,2.613079963510983372e+00,2.171101825379371034e-02,0.000000000000000000e+00
1.355690000000000055e+03,2.593536814313449401e+00,2.174478582641848137e-02,0.000000000000000000e+00
1.385880000000000109e+03,2.572993836775369747e+00,2.178099961846623536e-02,0.000000000000000000e+00
1.415980000000000018e+03,2.550148048848999149e+00,2.182215629635412754e-02,0.000000000000000000e+00
1.446109999999999900e+03,2.531869749065018382e+00,2.185576846624791292e-02,0.000000000000000000e+00
1.476279999999999973e+03,2.513898948554676771e+00,2.188941957419250281e-02,0.000000000000000000e+00
1.506400000000000091e+03,2.493618590390021872e+00,2.192812887236679151e-02,0.000000000000000000e+00
1.536450000000000045e+03,2.473592889887727075e+00,2.196713021491782450e-02,0.000000000000000000e+00
1.566529999999999973e+03,2.457963590173558810e+00,2.199811659960619614e-02,0.000000000000000000e+00
1.596549999999999955e+03,2.439996448817006058e+00,2.203434149742874645e-02,0.000000000000000000e+00
1.626660000000000082e+03,2.422410486062394508e+00,2.207043377982790752e-02,0.000000000000000000e+00
1.656680000000000064e+03,2.403786973503013069e+00,2.210935381834613564e-02,0.000000000000000000e+00
1.686880000000000109e+03,2.381858273888553423e+00,2.215612009237875185e-02,0.000000000000000000e+00
1.717049999999999955e+03,2.371457957280421081e+00,2.217866143937272452e-02,0.000000000000000000e+00
1.747069999999999936e+03,2.354133354874622164e+00,2.221673473264317369e-02,0.000000000000000000e+00
1.777259999999999991e+03,2.336503311197506427e+00,2.225616239729337822e-02,0.000000000000000000e+00
1.807470000000000027e+03,2.314612473206764331e+00,2.230609623554984794e-02,0.000000000000000000e+00
1.837490000000000009e+03,2.297874013263926596e+00,2.234502160152717493e-02,0.000000000000000000e+00
1.867640000000000100e+03,2.283300331582178710e+00,2.237944744622285750e-02,0.000000000000000000e+00
1.897809999999999945e+03,2.266854283038246987e+00,2.241890351331744108e-02,0.000000000000000000e+00
1.927960000000000036e+03,2.214081694402642242e+00,2.254998361193051234e-02,0.000000000000000000e+00
1.958150000000000091e+03,2.197335682274948354e+00,2.259304521719808848e-02,0.000000000000000000e+00
1.988299999999999955e+03,2.183914163276367226e+00,2.262808242315054313e-02,0.000000000000000000e+00
2.018500000000000000e+03,2.170310053684227025e+00,2.266407944298596058e-02,0.000000000000000000e+00
2.048550000000000182e+03,2.150947918331085784e+00,2.271616431979518388e-02,0.000000000000000000e+00
2.078590000000000146e+03,2.134048091170707817e+00,2.276245709551426299e-02,0.000000000000000000e+00
2.108619999999999891e+03,2.121662557113798364e+00,2.279688436189334852e-02,0.000000000000000000e+00
2.138639999999999873e+03,2.109121695781246419e+00,2.283218056061157505e-02,0.000000000000000000e+00
2.168860000000000127e+03,2.092481155187639441e+00,2.287970388648982376e-02,0.000000000000000000e+00
2.198889999999999873e+03,2.076562400928992691e+00,2.292591199699135079e-02,0.000000000000000000e+00
2.228989999999999782e+03,2.060386135144676611e+00,2.297362721365779278e-02,0.000000000000000000e+00
2.259059999999999945e+03,2.048079865236822172e+00,2.301044756868309005e-02,0.000000000000000000e+00
2.289079999999999927e+03,2.032480952816333453e+00,2.305777544870955126e-02,0.000000000000000000e+00
2.319269999999999982e+03,2.018762230867985341e+00,2.310001328197635803e-02,0.000000000000000000e+00
2.349420000000000073e+03,2.004852684688763542e+00,2.314343434343434439e-02,0.000000000000000000e+00
2.379489999999999782e+03,1.987463304783483098e+00,2.319857475674935027e-02,0.000000000000000000e+00
2.409539999999999964e+03,1.970881468447934770e+00,2.325205517625749188e-02,0.000000000000000000e+00
2.439570000000000164e+03,1.961924095751378161e+00,2.328131590046393987e-02,0.000000000000000000e+00
