time_s,pt1_mbar,y,y_error,reynolds,in_laminar_fit
5.110000000000000320e+00,1.870000000000000000e+03,-1.228348610324080603e+00,8.698813682120791826e-03,1.324941022861949023e+02,1.000000000000000000e+00
1.021000000000000085e+01,1.821000000000000000e+03,-1.270858193473322739e+00,9.203197050774665489e-03,1.327554298551740999e+02,1.000000000000000000e+00
1.528999999999999915e+01,1.772000000000000000e+03,-1.316848402071979951e+00,9.773780741753172047e-03,1.294252099736154946e+02,1.000000000000000000e+00
2.032999999999999829e+01,1.726000000000000000e+03,-1.363635596354580759e+00,1.038210733636089379e-02,1.263468585744249708e+02,1.000000000000000000e+00
2.544000000000000128e+01,1.679000000000000000e+03,-1.415586729576055136e+00,1.109219732847799116e-02,1.213322030017401687e+02,1.000000000000000000e+00
3.055999999999999872e+01,1.636000000000000000e+03,-1.467340455306808344e+00,1.183775001310585252e-02,1.149112847352307512e+02,1.000000000000000000e+00
3.564000000000000057e+01,1.594000000000000000e+03,-1.522394692874135647e+00,1.267499954563612065e-02,1.108870298746558376e+02,1.000000000000000000e+00
4.075999999999999801e+01,1.554000000000000000e+03,-1.579619189410426339e+00,1.359626992681771049e-02,1.050425579748255558e+02,1.000000000000000000e+00
4.588000000000000256e+01,1.516000000000000000e+03,-1.639016407661988417e+00,1.461081639581440772e-02,9.747675005878771515e+01,1.000000000000000000e+00
5.093999999999999773e+01,1.482000000000000000e+03,-1.696993803458419992e+00,1.566185559701250424e-02,9.112476870443576615e+01,1.000000000000000000e+00
5.602000000000000313e+01,1.449000000000000000e+03,-1.758343472308210975e+00,1.684341954655746779e-02,8.662911253620474383e+01,1.000000000000000000e+00
6.113000000000000256e+01,1.418000000000000000e+03,-1.821277305491838083e+00,1.813430078427633735e-02,8.238755653368875187e+01,1.000000000000000000e+00
6.623000000000000398e+01,1.388000000000000000e+03,-1.887899524598679379e+00,1.959353114647712987e-02,7.834351663597175275e+01,1.000000000000000000e+00
7.134000000000000341e+01,1.360000000000000000e+03,-1.956032546746380385e+00,2.119117353664783446e-02,7.273284686052116399e+01,1.000000000000000000e+00
7.646999999999999886e+01,1.334000000000000000e+03,-2.025351990756897091e+00,2.293362138700630673e-02,6.769762108686163060e+01,1.000000000000000000e+00
8.151999999999999602e+01,1.310000000000000000e+03,-2.095428056261809058e+00,2.482359331978927289e-02,6.369708554886207708e+01,1.000000000000000000e+00
8.665000000000000568e+01,1.287000000000000000e+03,-2.169053700369523163e+00,2.695869850017564712e-02,6.076922705857037954e+01,1.000000000000000000e+00
9.173000000000000398e+01,1.265000000000000000e+03,-2.246495626343002261e+00,2.938227390373390757e-02,5.564943915322874091e+01,1.000000000000000000e+00
9.681000000000000227e+01,1.246000000000000000e+03,-2.319922713319722885e+00,3.186159702784670950e-02,5.108452873952311535e+01,1.000000000000000000e+00
1.019899999999999949e+02,1.227000000000000000e+03,-2.400565501354249509e+00,3.480427444664459941e-02,4.847571579528801067e+01,1.000000000000000000e+00
1.070400000000000063e+02,1.210000000000000000e+03,-2.479992634985571431e+00,3.794555776096149302e-02,4.493251180551783364e+01,1.000000000000000000e+00
1.121200000000000045e+02,1.194000000000000000e+03,-2.562246653113651629e+00,4.147409549126053474e-02,4.065006281941997202e+01,1.000000000000000000e+00
1.172199999999999989e+02,1.180000000000000000e+03,-2.641329541454035201e+00,4.515287719433878216e-02,3.785545779605562444e+01,1.000000000000000000e+00
1.223199999999999932e+02,1.166000000000000000e+03,-2.728355467262955525e+00,4.955342575948620820e-02,3.506482842427980273e+01,1.000000000000000000e+00
1.274500000000000028e+02,1.154000000000000000e+03,-2.810505738033395762e+00,5.407525442571785995e-02,3.235293764793894411e+01,1.000000000000000000e+00
1.325500000000000114e+02,1.142000000000000000e+03,-2.901052147325061004e+00,5.951043090773901201e-02,3.112347417526354221e+01,1.000000000000000000e+00
1.376399999999999864e+02,1.131000000000000000e+03,-2.992950630592114081e+00,6.555509608852182202e-02,2.854975000335273805e+01,1.000000000000000000e+00
1.426899999999999977e+02,1.121000000000000000e+03,-3.085461043520120850e+00,7.222908958066480423e-02,2.580659501985262949e+01,1.000000000000000000e+00
1.478000000000000114e+02,1.112000000000000000e+03,-3.177585555930585226e+00,7.951920197856320038e-02,2.295855816175874509e+01,1.000000000000000000e+00
1.529000000000000057e+02,1.104000000000000000e+03,-3.268018660527798325e+00,8.736041074124606398e-02,2.009645313438505099e+01,1.000000000000000000e+00
1.581100000000000136e+02,1.097000000000000000e+03,-3.355106274461888471e+00,9.561316504276906603e-02,2.028428319865732021e+01,1.000000000000000000e+00
1.631299999999999955e+02,1.089000000000000000e+03,-3.465735902799726542e+00,1.071896915025735836e-01,1.917537804976997151e+01,1.000000000000000000e+00
1.681899999999999977e+02,1.083000000000000000e+03,-3.558201130471819962e+00,1.178989493004828082e-01,1.497727042909971829e+01,1.000000000000000000e+00
1.732599999999999909e+02,1.078000000000000000e+03,-3.642835515612529385e+00,1.286089137581583053e-01,1.497727042910022099e+01,1.000000000000000000e+00
1.783199999999999932e+02,1.072000000000000000e+03,-3.755488534245611465e+00,1.443469724134697485e-01,1.356388748256133958e+01,1.000000000000000000e+00
1.834600000000000080e+02,1.068000000000000000e+03,-3.838735209658313607e+00,1.571712241577025437e-01,1.210200085148206739e+01,1.000000000000000000e+00
1.885800000000000125e+02,1.063000000000000000e+03,-3.954124181446781350e+00,1.768091925362666739e-01,1.217660937319107362e+01,1.000000000000000000e+00
1.936399999999999864e+02,1.059000000000000000e+03,-4.057565310718803886e+00,1.964479108398664298e-01,9.499085100597206122e+00,1.000000000000000000e+00
1.987599999999999909e+02,1.056000000000000000e+03,-4.143134726391532574e+00,2.143017740254493930e-01,9.415092039251758749e+00,1.000000000000000000e+00
2.038899999999999864e+02,1.052000000000000000e+03,-4.270420602678324684e+00,2.438537365318835248e-01,9.395506490011038991e+00,1.000000000000000000e+00
2.090399999999999920e+02,1.049000000000000000e+03,-4.378173065357891858e+00,2.719855573541434812e-01,6.706097616337949319e+00,1.000000000000000000e+00
2.141599999999999966e+02,1.047000000000000000e+03,-4.457250055911469389e+00,2.946476275813367796e-01,5.386797844862835305e+00,1.000000000000000000e+00
