x,y,y_error
5.120000000000000107e+00,-1.268160140209678266e+00,9.170538330625028003e-03
1.032000000000000028e+01,-1.365756799060683813e+00,1.041037529680350140e-02
1.541999999999999993e+01,-1.464835003171171213e+00,1.180074880040335970e-02
2.051000000000000156e+01,-1.566298419773482831e+00,1.337701445945047377e-02
2.560999999999999943e+01,-1.670806858810392592e+00,1.517946650791827945e-02
3.069000000000000128e+01,-1.778044046483135521e+00,1.723869705287296716e-02
3.571999999999999886e+01,-1.885578224445709772e+00,1.954101550714673272e-02
4.078999999999999915e+01,-1.997937486383968064e+00,2.222989033052447799e-02
4.585999999999999943e+01,-2.107747372241103534e+00,2.516988954466951520e-02
5.095000000000000284e+01,-2.224623551524333553e+00,2.867850341530245664e-02
5.604999999999999716e+01,-2.336258308100633396e+00,3.243855530516147334e-02
6.114000000000000057e+01,-2.455842516844088941e+00,3.696375991956810797e-02
6.625000000000000000e+01,-2.573108967556162696e+00,4.196224634073794646e-02
7.131999999999999318e+01,-2.683757508533165304e+00,4.725029596918538244e-02
7.640999999999999659e+01,-2.803360380906534832e+00,5.366698681157464762e-02
8.150000000000000000e+01,-2.925198807092789011e+00,6.104515888682091745e-02
8.654000000000000625e+01,-3.038028908412874429e+00,6.872995178488806867e-02
9.164000000000000057e+01,-3.156298748802297549e+00,7.777446101127170885e-02
9.671999999999999886e+01,-3.279970924228011508e+00,8.845090305011203691e-02
1.018299999999999983e+02,-3.408787550928831234e+00,1.010705134459652932e-01
1.069699999999999989e+02,-3.526360524616161563e+00,1.140987995332608390e-01
1.120799999999999983e+02,-3.642835515612529385e+00,1.286089137581583053e-01
1.172199999999999989e+02,-3.775630380522591256e+00,1.473526105093260208e-01
1.223700000000000045e+02,-3.906292330719161043e+00,1.683928138760851234e-01
1.274099999999999966e+02,-4.030646528616747659e+00,1.911400878498997480e-01
1.325200000000000102e+02,-4.143134726391532574e+00,2.143017740254493930e-01
1.375900000000000034e+02,-4.270420602678324684e+00,2.438537365318835248e-01
1.427100000000000080e+02,-4.416911036527383594e+00,2.828633196751308421e-01
1.478100000000000023e+02,-4.499326461816393063e+00,3.074567263507366199e-01
1.529199999999999875e+02,-4.637637376125592681e+00,3.535699564611560763e-01
1.580300000000000011e+02,-4.742029368705289016e+00,3.928520389141833546e-01
